"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C8","K10-17_75","86.614mm","63.5mm","84.074mm","63.5mm","84.074mm","63.5mm","T","360.00","K10-17_75"
"C7","K10-17_75","86.614mm","68.58mm","84.074mm","68.58mm","84.074mm","68.58mm","T","360.00","K10-17_75"
"C1","K10-17_75","48.514mm","19.05mm","51.054mm","19.05mm","51.054mm","19.05mm","T","180.00","K10-17_75"
"C2","K10-17_75","48.514mm","34.29mm","51.054mm","34.29mm","51.054mm","34.29mm","T","180.00","K10-17_75"
"C3","K10-17_75","28.194mm","62.23mm","30.734mm","62.23mm","30.734mm","62.23mm","T","180.00","K10-17_75"
"C4","K10-17_75","73.914mm","11.43mm","73.914mm","8.89mm","73.914mm","8.89mm","T","90.00","K10-17_75"
"C5","K10-17_75","76.454mm","19.05mm","76.454mm","16.51mm","76.454mm","16.51mm","T","90.00","K10-17_75"
"C6","K10-17_75","76.454mm","11.43mm","76.454mm","8.89mm","76.454mm","8.89mm","T","90.00","K10-17_75"
"DD1","DIP40_15","33.274mm","30.48mm","25.654mm","54.61mm","25.654mm","54.61mm","T","360.00","UPD765"
"DD2","DIP24_15","62.484mm","20.32mm","54.864mm","34.29mm","54.864mm","34.29mm","T","360.00","SED9420"
"DD3","DIP14","54.864mm","63.5mm","62.484mm","67.31mm","62.484mm","67.31mm","T","270.00","1533LN1"
"DD4","DIP14","51.054mm","46.99mm","47.244mm","54.61mm","47.244mm","54.61mm","T","360.00","1533LA3"
"DD5","DIP14","66.294mm","46.99mm","62.484mm","54.61mm","62.484mm","54.61mm","T","360.00","1533LN1"
"DD6","DIP16","16.764mm","15.24mm","12.954mm","24.13mm","12.954mm","24.13mm","T","360.00","1533ID7"
"DD7","DIP16","16.764mm","57.15mm","12.954mm","66.04mm","12.954mm","66.04mm","T","360.00","1533TM8"
"P1","HDR1X3","95.504mm","66.04mm","95.504mm","68.58mm","95.504mm","68.58mm","T","270.00","Power"
"R1","R0125-2_5","16.764mm","38.1mm","15.494mm","38.1mm","15.494mm","38.1mm","T","360.00","R0125-2_5"
"R2","R0125-2_5","26.924mm","64.77mm","25.654mm","64.77mm","25.654mm","64.77mm","T","360.00","R0125-2_5"
"R3","R0125-2_5","26.924mm","67.31mm","28.194mm","67.31mm","28.194mm","67.31mm","T","180.00","R0125-2_5"
"R4","R0125-2_5","48.514mm","16.51mm","47.244mm","16.51mm","47.244mm","16.51mm","T","360.00","R0125-2_5"
"R5","R0125-2_5","44.704mm","10.16mm","44.704mm","11.43mm","44.704mm","11.43mm","T","270.00","R0125-2_5"
"R6","R0125-2_5","76.454mm","25.4mm","76.454mm","24.13mm","76.454mm","24.13mm","T","90.00","R0125-2_5"
"R7","R0125-2_5","73.914mm","25.4mm","73.914mm","24.13mm","73.914mm","24.13mm","T","90.00","R0125-2_5"
"R8","R0125-2_5","73.914mm","17.78mm","73.914mm","16.51mm","73.914mm","16.51mm","T","90.00","R0125-2_5"
"R9","R0125-2_5","75.184mm","6.35mm","76.454mm","6.35mm","76.454mm","6.35mm","T","180.00","R0125-2_5"
"R10","R0125-2_5","76.454mm","38.1mm","75.184mm","38.1mm","75.184mm","38.1mm","T","360.00","R0125-2_5"
"R11","R0125-2_5","76.454mm","40.64mm","75.184mm","40.64mm","75.184mm","40.64mm","T","360.00","R0125-2_5"
"R12","R0125-2_5","76.454mm","45.72mm","75.184mm","45.72mm","75.184mm","45.72mm","T","360.00","R0125-2_5"
"R13","R0125-2_5","76.454mm","43.18mm","75.184mm","43.18mm","75.184mm","43.18mm","T","360.00","R0125-2_5"
"R14","R0125-2_5","76.454mm","48.26mm","75.184mm","48.26mm","75.184mm","48.26mm","T","360.00","R0125-2_5"
"VD1","KD522-2_5","16.764mm","35.56mm","15.494mm","35.56mm","15.494mm","35.56mm","T","360.00","KD522-2_5"
"VD2","KD522-2_5","16.764mm","33.02mm","15.494mm","33.02mm","15.494mm","33.02mm","T","360.00","KD522-2_5"
"VD3","KD522-2_5","49.784mm","10.16mm","49.784mm","11.43mm","49.784mm","11.43mm","T","270.00","KD522-2_5"
"VD4","KD522-2_5","47.244mm","10.16mm","47.244mm","11.43mm","47.244mm","11.43mm","T","270.00","KD522-2_5"
"XP1","ZX_EDGE","4.064mm","36.83mm","4.064mm","71.12mm","4.064mm","71.12mm","T","0.00","ZX EDGE"
"XP3","FDD_CON_Male","85.344mm","30.48mm","86.614mm","10.16mm","86.614mm","10.16mm","T","180.00","FDD_CON"
"XP4","DSUB1.385-2H25A","94.384mm","31.694mm","92.964mm","48.26mm","92.964mm","48.26mm","B","270.00","FDD_DB25"
"ZQ1","RK169MD","48.514mm","26.63mm","48.514mm","24.13mm","48.514mm","24.13mm","T","90.00","RK169MD"

